Algorithm,Level,Events,Uncompressed,Compressed,Time,Filename,Iteration
LZ4,5,1000,12539332563,5728810507,843.3113799095154,step4_LZ45_1000.root,5
LZ4,5,1000,12539307404,5728735118,842.7069044113159,step4_LZ45_1000.root,6
LZ4,5,1000,12539275418,5728885000,845.602777004242,step4_LZ45_1000.root,7
LZ4,5,1000,12539304991,5728660367,840.9650673866272,step4_LZ45_1000.root,8
LZ4,5,1000,12539300322,5728869238,842.1806919574738,step4_LZ45_1000.root,9
LZ4,6,1000,12539287928,5701543629,846.0822396278381,step4_LZ46_1000.root,0
LZ4,6,1000,12539290795,5701322713,846.6363112926483,step4_LZ46_1000.root,1
LZ4,6,1000,12539319300,5701510789,843.1683571338654,step4_LZ46_1000.root,2
LZ4,6,1000,12539311726,5701601514,843.0426437854767,step4_LZ46_1000.root,3
LZ4,6,1000,12538715372,5699954042,847.3501558303833,step4_LZ46_1000.root,4
LZ4,6,1000,12539311025,5701511498,846.9518740177155,step4_LZ46_1000.root,5
LZ4,6,1000,12539298132,5701477909,844.3708350658417,step4_LZ46_1000.root,6
LZ4,6,1000,12539314147,5701280545,843.4251029491425,step4_LZ46_1000.root,7
LZ4,6,1000,12539272706,5701561643,845.968255519867,step4_LZ46_1000.root,8
LZ4,6,1000,12539292922,5701392076,848.1564610004425,step4_LZ46_1000.root,9
LZ4,7,1000,12539327924,5681040348,849.8968117237091,step4_LZ47_1000.root,0
LZ4,7,1000,12539322508,5681156373,850.5417029857635,step4_LZ47_1000.root,1
LZ4,7,1000,12538752784,5679432536,850.5776288509369,step4_LZ47_1000.root,2
LZ4,7,1000,12539297136,5680986525,851.7278950214386,step4_LZ47_1000.root,3
LZ4,7,1000,12539333053,5680943620,852.336005449295,step4_LZ47_1000.root,4
LZ4,7,1000,12539297339,5681155027,851.0729598999023,step4_LZ47_1000.root,5
LZ4,7,1000,12539297116,5681045516,851.0967309474945,step4_LZ47_1000.root,6
LZ4,7,1000,12539305266,5680886428,851.151716709137,step4_LZ47_1000.root,7
LZ4,7,1000,12539309332,5681002789,849.1840686798096,step4_LZ47_1000.root,8
LZ4,7,1000,12538764797,5679531420,846.2197375297546,step4_LZ47_1000.root,9
LZ4,8,1000,12539257483,5667983853,853.3529269695282,step4_LZ48_1000.root,0
LZ4,8,1000,12539317930,5668205215,856.840950012207,step4_LZ48_1000.root,1
LZ4,8,1000,12539304720,5668054241,855.9225778579712,step4_LZ48_1000.root,2
LZ4,8,1000,12538696098,5666510466,855.9136829376221,step4_LZ48_1000.root,3
LZ4,8,1000,12539311321,5668022986,851.3106863498688,step4_LZ48_1000.root,4
LZ4,8,1000,12539319799,5668246538,855.0722095966339,step4_LZ48_1000.root,5
LZ4,8,1000,12539304557,5668156574,857.0355167388916,step4_LZ48_1000.root,6
LZ4,8,1000,12539309193,5668155098,857.1778116226196,step4_LZ48_1000.root,7
LZ4,8,1000,12539262838,5668177025,866.5261580944061,step4_LZ48_1000.root,8
LZ4,8,1000,12539306868,5668261657,861.7937517166138,step4_LZ48_1000.root,9
LZ4,9,1000,12539270019,5658488038,863.0733284950256,step4_LZ49_1000.root,0
LZ4,9,1000,12539343872,5658503093,861.8246619701385,step4_LZ49_1000.root,1
LZ4,9,1000,12539297340,5658577334,861.2863674163818,step4_LZ49_1000.root,2
LZ4,9,1000,12539299072,5658592827,864.3047678470612,step4_LZ49_1000.root,3
LZ4,9,1000,12539267172,5658601793,863.1356043815613,step4_LZ49_1000.root,4
LZ4,9,1000,12539300617,5658403877,864.9746191501617,step4_LZ49_1000.root,5
LZ4,9,1000,12539274721,5658391669,864.6231381893158,step4_LZ49_1000.root,6
LZ4,9,1000,12539286582,5658688060,860.2602367401123,step4_LZ49_1000.root,7
LZ4,9,1000,12539261108,5658615828,867.0716798305511,step4_LZ49_1000.root,8
LZ4,9,1000,12539313932,5658513079,868.8102641105652,step4_LZ49_1000.root,9
ZSTD,0,1000,12947592701,12947551253,832.9600019454956,step4_ZSTD0_1000.root,0
ZSTD,0,1000,12947589769,12947548321,839.8266215324402,step4_ZSTD0_1000.root,1
ZSTD,0,1000,12947501710,12947460262,844.557207107544,step4_ZSTD0_1000.root,2
ZSTD,0,1000,12947584459,12947543011,829.5789289474487,step4_ZSTD0_1000.root,3
ZSTD,0,1000,12947391141,12947349693,825.4309380054474,step4_ZSTD0_1000.root,4
ZSTD,0,1000,12947530828,12947489380,829.3806481361389,step4_ZSTD0_1000.root,5
ZSTD,0,1000,12947658369,12947616921,822.5471057891846,step4_ZSTD0_1000.root,6
ZSTD,0,1000,12947632807,12947591359,831.116945028305,step4_ZSTD0_1000.root,7
ZSTD,0,1000,12947565167,12947523719,830.1053366661072,step4_ZSTD0_1000.root,8
ZSTD,0,1000,12947731757,12947690309,825.7989208698273,step4_ZSTD0_1000.root,9
ZSTD,1,1000,12457318908,5002947063,824.6426689624786,step4_ZSTD1_1000.root,0
